AL109741.1	AL109741.1
S1PR1	S1PR1
COL11A1	COL11A1
RNPC3	RNPC3
AMY2B	AMY2B
PRMT6	PRMT6
NTNG1	NTNG1
VAV3	VAV3
LINC02785	LINC02785
SLC25A24	SLC25A24
AL359258.2	AL359258.2
FAM102B	FAM102B
HENMT1	HENMT1
AL160171.1	AL160171.1
PRPF38B	PRPF38B
FNDC7	FNDC7
STXBP3	STXBP3
AKNAD1	AKNAD1
GPSM2	GPSM2
CLCC1	CLCC1
WDR47	WDR47
TAF13	TAF13
AL356488.3	AL356488.3
TMEM167B	TMEM167B
AL356488.2	AL356488.2
KIAA1324	KIAA1324
SARS	SARS
CELSR2	CELSR2
PSRC1	PSRC1
MYBPHL	MYBPHL
SORT1	SORT1
PSMA5	PSMA5
ATXN7L2	ATXN7L2
CYB561D1	CYB561D1
AMIGO1	AMIGO1
GNAI3	GNAI3
AL355310.1	AL355310.1
AMPD2	AMPD2
GSTM4	GSTM4
GSTM2	GSTM2
AC000032.1	AC000032.1
GSTM3	GSTM3
CSF1	CSF1
AHCYL1	AHCYL1
STRIP1	STRIP1
AL160006.1	AL160006.1
ALX3	ALX3
KCNC4	KCNC4
RBM15-AS1	RBM15-AS1
RBM15	RBM15
LAMTOR5-AS1	LAMTOR5-AS1
SLC16A4	SLC16A4
AL355488.1	AL355488.1
LAMTOR5	LAMTOR5
KCNA2	KCNA2
AL365361.1	AL365361.1
KCNA3	KCNA3
CD53	CD53
AL360270.2	AL360270.2
AL360270.1	AL360270.1
LRIF1	LRIF1
AL360270.3	AL360270.3
DRAM2	DRAM2
CEPT1	CEPT1
AL355816.1	AL355816.1
AL355816.2	AL355816.2
DENND2D	DENND2D
CHI3L2	CHI3L2
OVGP1	OVGP1
AL390195.2	AL390195.2
AL390195.1	AL390195.1
WDR77	WDR77
ATP5PB	ATP5PB
C1orf162	C1orf162
TMIGD3	TMIGD3
ADORA3	ADORA3
RAP1A	RAP1A
LINC01160	LINC01160
INKA2	INKA2
INKA2-AS1	INKA2-AS1
AL049557.1	AL049557.1
DDX20	DDX20
KCND3	KCND3
CTTNBP2NL	CTTNBP2NL
WNT2B	WNT2B
AL354760.1	AL354760.1
ST7L	ST7L
CAPZA1	CAPZA1
MOV10	MOV10
AL603832.1	AL603832.1
RHOC	RHOC
PPM1J	PPM1J
LINC01356	LINC01356
SLC16A1	SLC16A1
SLC16A1-AS1	SLC16A1-AS1
LRIG2-DT	LRIG2-DT
LRIG2	LRIG2
MAGI3	MAGI3
PHTF1	PHTF1
RSBN1	RSBN1
AL137856.1	AL137856.1
PTPN22	PTPN22
AP4B1-AS1	AP4B1-AS1
BCL2L15	BCL2L15
AP4B1	AP4B1
DCLRE1B	DCLRE1B
HIPK1-AS1	HIPK1-AS1
HIPK1	HIPK1
OLFML3	OLFML3
SYT6	SYT6
TRIM33	TRIM33
BCAS2	BCAS2
DENND2C	DENND2C
AMPD1	AMPD1
NRAS	NRAS
CSDE1	CSDE1
SIKE1	SIKE1
TSPAN2	TSPAN2
VANGL1	VANGL1
SLC22A15	SLC22A15
MAB21L3	MAB21L3
ATP1A1	ATP1A1
ATP1A1-AS1	ATP1A1-AS1
LINC01762	LINC01762
AL390066.1	AL390066.1
CD58	CD58
IGSF3	IGSF3
CD2	CD2
PTGFRN	PTGFRN
CD101	CD101
AL445231.1	AL445231.1
TTF2	TTF2
TRIM45	TRIM45
AL358072.1	AL358072.1
MAN1A2	MAN1A2
TENT5C	TENT5C
GDAP2	GDAP2
WDR3	WDR3
TBX15	TBX15
WARS2	WARS2
WARS2-IT1	WARS2-IT1
WARS2-AS1	WARS2-AS1
LINC00622	LINC00622
ZNF697	ZNF697
PHGDH	PHGDH
REG4	REG4
NOTCH2	NOTCH2
SEC22B	SEC22B
NBPF26	NBPF26
AC253572.2	AC253572.2
LINC00623	LINC00623
FCGR1B	FCGR1B
AC244453.2	AC244453.2
FAM72B	FAM72B
SRGAP2C	SRGAP2C
LINC02798	LINC02798
AL592494.2	AL592494.2
AC239800.2	AC239800.2
LINC02591	LINC02591
HIST2H3PS2	HIST2H3PS2
FAM72C	FAM72C
LINC02802	LINC02802
AC246785.3	AC246785.3
NBPF15	NBPF15
FP700111.1	FP700111.1
SRGAP2B	SRGAP2B
FAM72D	FAM72D
AC245014.3	AC245014.3
AC245014.1	AC245014.1
NBPF20	NBPF20
GPR89A	GPR89A
PDZK1	PDZK1
CD160	CD160
RNF115	RNF115
POLR3C	POLR3C
NUDT17	NUDT17
PIAS3	PIAS3
ANKRD35	ANKRD35
ITGA10	ITGA10
PEX11B	PEX11B
RBM8A	RBM8A
LIX1L-AS1	LIX1L-AS1
LIX1L	LIX1L
ANKRD34A	ANKRD34A
